1,1,"Caja","Activos Circulantes","Activo","2014-07-11",N,1
2,1.1,"Caja y efectivo","Activos Circulantes","Activo","2014-07-11",N,2
1,2,Bancos,"Activos Circulantes","Activo","2014-07-11",N,3
2,2.1,"Bancos nacionales","Activos Circulantes","Activo","2014-07-11",N,4
2,2.2,"Bancos extranjeros","Activos Circulantes","Activo","2014-07-11",N,5
1,3,Inversiones,"Activos Circulantes","Activo","2014-07-11",N,6
2,3.1,"Inversiones en Valores","Activos Circulantes","Activo","2014-07-11",N,7
2,3.2,"Inversiones temporales","Activos Circulantes","Activo","2014-07-11",N,8
1,4,Clientes,"Activos Circulantes","Activo","2014-07-11",N,9
2,4.1,"Clientes nacionales","Activos Circulantes","Activo","2014-07-11",N,10
2,4.2,"Clientes extranjeros","Activos Circulantes","Activo","2014-07-11",N,11
2,4.3,"Partes relacionadas","Activos Circulantes","Activo","2014-07-11",N,12
1,5,"Cuentas por Cobrar","Activos Circulantes","Activo","2014-07-11",N,13
2,5.1,"Documentos por Cobrar corto plazo","Activos Circulantes","Activo","2014-07-11",N,14
2,5.2,"Partes relacionadas","Activos Circulantes","Activo","2014-07-11",N,15
2,5.3,"Intereses por cobrar","Activos Circulantes","Activo","2014-07-11",N,16
1,6,"Títulos de crédito","Activos Circulantes","Activo","2014-07-11",N,17
2,6.1,"Títulos de crédito","Activos Circulantes","Activo","2014-07-11",N,18
1,7,"Créditos otorgados","Activos Circulantes","Activo","2014-07-11",N,19
2,7.1,"Créditos otorgados","Activos Circulantes","Activo","2014-07-11",N,20
1,8,"Deudores diversos","Activos Circulantes","Activo","2014-07-11",N,21
2,8.1,"Funcionarios y Empleados","Activos Circulantes","Activo","2014-07-11",N,22
2,8.2,"Socios y accionistas","Activos Circulantes","Activo","2014-07-11",N,23
2,8.3,"Partes relacionadas","Activos Circulantes","Activo","2014-07-11",N,24
2,8.4,"Otros deudores diversos","Activos Circulantes","Activo","2014-07-11",N,25
1,9,"Estimación de Cuentas Incobrables","Activos Circulantes","Activo","2014-07-11",N,26
2,9.1,"Estimación de Cuentas Incobrables","Activos Circulantes","Activo","2014-07-11",N,27
1,10,"Pagos Anticipados","Activos Circulantes","Activo","2014-07-11",N,28
2,10.1,"Seguros y Fianzas Pagadas por Anticipado","Activos Circulantes","Activo","2014-07-11",N,29
2,10.2,"Rentas Pagadas por Anticipado","Activos Circulantes","Activo","2014-07-11",N,30
2,10.3,"Intereses Pagados por Anticipado","Activos Circulantes","Activo","2014-07-11",N,31
2,10.4,"Otros pagos anticipados","Activos Circulantes","Activo","2014-07-11",N,32
1,11,"Impuestos a favor","Activos Circulantes","Activo","2014-07-11",N,33
2,11.1,"IVA a favor","Activos Circulantes","Activo","2014-07-11",N,34
2,11.2,"ISR a favor","Activos Circulantes","Activo","2014-07-11",N,35
2,11.3,"IETU a favor","Activos Circulantes","Activo","2014-07-11",N,36
2,11.4,"IDE a favor","Activos Circulantes","Activo","2014-07-11",N,37
2,11.5,"IA a favor","Activos Circulantes","Activo","2014-07-11",N,38
2,11.6,"Otros impuestos a favor","Activos Circulantes","Activo","2014-07-11",N,39
1,12,"Pagos provisionales","Activos Circulantes","Activo","2014-07-11",N,40
2,12.1,"Pagos provisionales de ISR","Activos Circulantes","Activo","2014-07-11",N,41
1,13,Inventarios,"Activos Circulantes","Activo","2014-07-11",N,42
2,13.1,Inventarios,"Activos Circulantes","Activo","2014-07-11",N,43
1,14,"Obras en proceso","Activos Circulantes","Activo","2014-07-11",N,44
2,14.1,"Obras en proceso","Activos Circulantes","Activo","2014-07-11",N,45
1,15,"Impuestos acreditables pagados","Activos Circulantes","Activo","2014-07-11",N,46
2,15.1,"IVA acreditable pagado","Activos Circulantes","Activo","2014-07-11",N,47
2,15.2,"IVA acreditable de importación pagado","Activos Circulantes","Activo","2014-07-11",N,48
2,15.3,"IEPS acreditable pagado","Activos Circulantes","Activo","2014-07-11",N,49
2,15.4,"IEPS pagado en importación","Activos Circulantes","Activo","2014-07-11",N,50
1,16,"Impuestos acreditables por pagar","Activos Circulantes","Activo","2014-07-11",N,51
2,16.1,"IVA pendiente de pago","Activos Circulantes","Activo","2014-07-11",N,52
2,16.2,"IVA de importación pendiente de pago","Activos Circulantes","Activo","2014-07-11",N,53
2,16.3,"IEPS pendiente de pago","Activos Circulantes","Activo","2014-07-11",N,54
